id	arm	stratum	genre	words
model-claude/claude-fable-5-1__newsletter_2021__10	model	period_claude	newsletter_2021	137
model-openai/gpt-5.5-2026-04-23__blog_2004__10	model	period_openai	blog_2004	135
model-openai/gpt-5.5-2026-04-23__blog_2004__08	model	period_openai	blog_2004	147
human-2004/blogauthorship__021	human	blog_2004	blog_2004	127
human-2004/blogauthorship__009	human	blog_2004	blog_2004	128
model-openai/gpt-5.5-2026-04-23__newsletter_2021__04	model	period_openai	newsletter_2021	130
human-substack/margaretannaalice__2021__06	human	substack_2017_22	2021	167
model-openai/gpt-5.5-2026-04-23__blog_2004__27	model	period_openai	blog_2004	122
model-openai/gpt-5.5-2026-04-23__blog_2004__15	model	period_openai	blog_2004	141
human-2004/blogauthorship__018	human	blog_2004	blog_2004	123
human-substack/doomberg__2021__07	human	substack_2017_22	2021	167
model-claude/claude-fable-5-1__blog_2004__02	model	period_claude	blog_2004	142
human-substack/howardluksmd__2020__03	human	substack_2017_22	2020	132
model-openai/gpt-5.5-2026-04-23__blog_2004__37	model	period_openai	blog_2004	144
human-2004/blogauthorship__022	human	blog_2004	blog_2004	123
model-openai/gpt-5.5-2026-04-23__blog_2004__21	model	period_openai	blog_2004	122
human-substack/richardkatz__2021__04	human	substack_2017_22	2021	138
model-claude/claude-fable-5-1__blog_2004__33	model	period_claude	blog_2004	135
human-2004/blogauthorship__031	human	blog_2004	blog_2004	126
model-claude/claude-fable-5-1__blog_2004__34	model	period_claude	blog_2004	127
model-claude/claude-fable-5-1__blog_2004__15	model	period_claude	blog_2004	125
human-substack/michaelyon__2021__08	human	substack_2017_22	2021	163
model-openai/gpt-5.5-2026-04-23__blog_2004__11	model	period_openai	blog_2004	126
model-claude/claude-fable-5-1__newsletter_2021__17	model	period_claude	newsletter_2021	124
human-2004/blogauthorship__010	human	blog_2004	blog_2004	167
human-substack/rogerpielkejr__2021__04	human	substack_2017_22	2021	133
human-2004/blogauthorship__015	human	blog_2004	blog_2004	135
human-2004/blogauthorship__005	human	blog_2004	blog_2004	133
model-openai/gpt-5.5-2026-04-23__blog_2004__06	model	period_openai	blog_2004	128
model-openai/gpt-5.5-2026-04-23__blog_2004__02	model	period_openai	blog_2004	145
model-openai/gpt-5.5-2026-04-23__newsletter_2021__07	model	period_openai	newsletter_2021	146
human-substack/21hats__2021__05	human	substack_2017_22	2021	193
human-substack/vosscapital__2021__01	human	substack_2017_22	2021	141
human-substack/hollymathnerd__2021__03	human	substack_2017_22	2021	121
model-claude/claude-fable-5-1__blog_2004__24	model	period_claude	blog_2004	128
human-substack/tolusefrancis__2021__07	human	substack_2017_22	2021	133
human-2004/blogauthorship__019	human	blog_2004	blog_2004	123
model-claude/claude-fable-5-1__blog_2004__22	model	period_claude	blog_2004	128
model-openai/gpt-5.5-2026-04-23__blog_2004__04	model	period_openai	blog_2004	122
model-claude/claude-fable-5-1__blog_2004__10	model	period_claude	blog_2004	146
human-substack/elisabeth402__2021__05	human	substack_2017_22	2021	139
model-claude/claude-fable-5-1__newsletter_2021__14	model	period_claude	newsletter_2021	136
model-openai/gpt-5.5-2026-04-23__blog_2004__36	model	period_openai	blog_2004	120
human-substack/adamtooze__2021__04	human	substack_2017_22	2021	145
model-claude/claude-fable-5-1__newsletter_2021__12	model	period_claude	newsletter_2021	130
human-substack/johnmandrola__2021__08	human	substack_2017_22	2021	142
model-openai/gpt-5.5-2026-04-23__blog_2004__39	model	period_openai	blog_2004	130
