n	file
1	cover_letter__04__A__r3.txt
2	recommendation__02__A__r1.txt
3	recommendation__02__A__r3.txt
4	recommendation__01__B__r1.txt
5	recommendation__03__A__r1.txt
6	cover_letter__04__B__r1.txt
7	cover_letter__02__B__r2.txt
8	linkedin__02__A__r3.txt
9	internal_memo__03__B__r2.txt
10	cover_letter__03__B__r3.txt
11	marketing_email__02__B__r3.txt
12	marketing_email__02__A__r1.txt
13	internal_memo__01__C__r0.txt
14	linkedin__04__B__r2.txt
15	linkedin__04__A__r3.txt
16	internal_memo__04__B__r1.txt
17	product_update__01__A__r2.txt
18	blog_post__02__A__r3.txt
19	internal_memo__02__A__r3.txt
20	cover_letter__03__A__r3.txt
