slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
doomberg	CANDIDATE	2021	79	100	4	0	0	1196	1	121
petition	SKIP-too-gated	2021	181	0	0	4	0	0	0	0
qtrs-fringe-finance	ERROR	404 on https://qtrs-fringe-finance.substack.com/sitemap								
bonner-private-research	CANDIDATE	2021	61	75	3	0	1	1489	3	97
capital-wars	SKIP-too-new	2023,2024,2025,2026								
compounding-quality	SKIP-too-new	none								
doug-casey-crisis-investing	ERROR	404 on https://doug-casey-crisis-investing.substack.com/site								
farm-cpa-report	SKIP-too-new	2022,2023,2024,2025,2026								
vajenda	CANDIDATE	2021	113	75	3	1	0	1252	6	74
brainhealthkitchen	SKIP-too-new	2022,2023,2024,2025,2026								
howardluksmd	CANDIDATE	2020	11	100	4	0	0	773	2	61
drboz	SKIP-too-new	2025,2026								
zawn	SKIP-too-new	2022,2023,2024,2025,2026								
gidmk	SKIP-too-new	2022,2023,2024,2025,2026								
davidlebovitz	SKIP-too-gated	2021	48	25	1	3	0	1101	0	62
heathercoxrichardson	CANDIDATE	2021	403	100	4	0	0	1323	2	157
kcklatt	SKIP-too-new	2023,2024,2025,2026								
samanthabee	SKIP-too-new	2023,2024,2025,2026								
gordobyrn	SKIP-too-new	2024,2025,2026								
erictopol	CANDIDATE	2021	8	100	4	0	0	1294	16	94
runlongrunhealthy	SKIP-too-gated	2021	5	0	0	4	0	0	0	0
stephenportee	SKIP-too-new	2023,2025,2026								
theskepticalcardiologist	SKIP-too-gated	2020	1	0	0	0	1	0	0	0
alancouzens	SKIP-too-new	2022,2023,2024,2025,2026								
feelthebyrn	WEAK-no-claims	2021	17	100	4	0	0	951	0	42
paddybarrett	SKIP-too-new	2022,2023,2024,2025,2026								
truewealth	SKIP-too-new	2022,2023,2024,2025,2026								
marcoaltini	SKIP-too-new	2023,2024,2025,2026								
hrv4training	SKIP-too-new	2023,2024,2025,2026								
strongtothebone	SKIP-too-new	2025,2026								
justinluksphysics	SKIP-too-new	2025								
thecrudechronicles	SKIP-too-new	2022,2023,2024,2025,2026								
vitaliy	SKIP-too-gated	2021	84	50	2	0	2	3477	2	66
direports	SKIP-too-new	2024,2025,2026								
peekbehindthenumbers	SKIP-too-gated	2021	8	50	2	2	0	2909	3	118
adamtooze	SKIP-too-gated	2021	120	50	2	2	0	4378	3	108
pitchforkpapers	CANDIDATE	2021	56	75	3	0	1	2570	1	65
hardfork	CANDIDATE	2021	156	100	4	0	0	766	2	73
catalystfoods	SKIP-too-new	2022,2023,2024,2025,2026								
haymaker	SKIP-too-new	2022,2023,2024,2025,2026								
tradecrafters	SKIP-too-new	2023,2024,2025,2026								
monteinvestments	SKIP-too-new	2022,2023,2024,2025,2026								
dtinewsletter	SKIP-too-gated	2021	15	0	0	4	0	0	0	0
irinaslav	CANDIDATE	2021	30	100	4	0	0	1421	1	69
dimartinobooth	SKIP-too-gated	2021	250	0	0	4	0	0	0	0
